Date,AccuConfirm,AccuRecover,AccuConfirmN,Day_ConfirmN
2/15,29,9,29,
2/16,30,10,30,1.0
2/17,31,12,31,1.0
2/18,51,16,51,20.0
2/19,104,16,104,53.0
2/20,204,17,204,100.0
2/21,433,18,433,229.0
2/22,602,18,602,169.0
2/23,833,22,833,231.0
2/24,977,22,977,144.0
2/25,"1,261",24,1261,284.0
2/26,"1,766",26,1766,505.0
2/27,"2,337",27,2337,571.0
2/28,"3,150",28,3150,813.0
2/29,"3,736",30,3736,586.0
3/1,"4,212",31,4212,476.0
3/2,"4,812",34,4812,600.0
3/3,"5,328",41,5328,516.0
3/4,"5,766",88,5766,438.0
3/5,"6,284",108,6284,518.0
3/6,"6,767",118,6767,483.0
3/7,"7,134",130,7134,367.0
3/8,"7,382",166,7382,248.0
3/9,"7,513",247,7513,131.0
3/10,"7,755",288,7755,242.0
3/11,"7,869",333,7869,114.0
3/12,"7,979",510,7979,110.0
3/13,"8,086",714,8086,107.0
3/14,"8,162",834,8162,76.0
3/15,"8,236","1,137",8236,74.0
3/16,"8,320","1,401",8320,84.0
3/17,"8,413","1,540",8413,93.0
3/18,"8,565","1,947",8565,152.0
3/19,"8,652","2,233",8652,87.0
3/20,"8,799","2,612",8799,147.0
3/21,"8,897","2,909",8897,98.0
3/22,"8,961","3,166",8961,64.0
3/23,"9,037","3,507",9037,76.0
3/24,"9,137","3,730",9137,100.0
3/25,"9,241","4,144",9241,104.0
3/26,"9,332","4,528",9332,91.0
3/27,"9,478","4,811",9478,146.0
3/28,"9,583","5,033",9583,105.0
3/29,"9,661","5,228",9661,78.0
3/30,"9,786","5,408",9786,125.0
3/31,"9,887","5,567",9887,101.0
4/1,"9,976","5,828",9976,89.0
4/2,"10,062","6,021",10062,86.0
4/3,"10,156","6,325",10156,94.0
4/4,"10,237","6,463",10237,81.0
4/5,"10,284","6,598",10284,47.0
4/6,"10,331","6,694",10331,47.0
4/7,"10,384","6,776",10384,53.0
4/8,"10,423","6,973",10423,39.0
4/9,"10,450","7,117",10450,27.0
4/10,"10,480","7,243",10480,30.0
4/11,"10,512","7,368",10512,32.0
4/12,"10,537","7,447",10537,25.0
4/13,"10,564","7,534",10564,27.0
4/14,"10,591","7,616",10591,27.0
4/15,"10,613","7,757",10613,22.0
4/16,"10,635","7,829",10635,22.0
4/17,"10,653","7,937",10653,18.0
4/18,"10,661","8,042",10661,8.0
4/19,"10,674","8,114",10674,13.0
4/20,"10,683","8,213",10683,9.0
4/21,"10,694","8,277",10694,11.0
4/22,"10,702","8,411",10702,8.0
4/23,"10,708","8,501",10708,6.0
4/24,"10,718","8,635",10718,10.0
4/25,"10,728","8,717",10728,10.0
4/26,"10,738","8,764",10738,10.0
4/27,"10,752","8,854",10752,14.0
4/28,"10,761","8,922",10761,9.0
4/29,"10,765","9,059",10765,4.0
4/30,"10,774","9,072",10774,9.0
5/1,"10,780","9,123",10780,6.0
5/2,"10,793","9,183",10793,13.0
5/3,"10,801","9,217",10801,8.0
5/4,"10,804","9,283",10804,3.0
5/5,"10,806","9,333",10806,2.0
5/6,"10,810","9,419",10810,4.0
5/7,"10,822","9,484",10822,12.0
5/8,"10,840","9,568",10840,18.0
5/9,"10,874","9,610",10874,34.0
5/10,"10,909","9,632",10909,35.0
5/11,"10,936","9,670",10936,27.0
5/12,"10,962","9,695",10962,26.0
5/13,"10,991","9,762",10991,29.0
5/14,"11,018","9,821",11018,27.0
5/15,"11,037","9,851",11037,19.0
5/16,"11,050","9,888",11050,13.0
5/17,"11,065","9,904",11065,15.0
5/18,"11,078","9,938",11078,13.0
5/19,"11,110","10,066",11110,32.0
5/20,"11,122","10,135",11122,12.0
5/21,"11,142","10,162",11142,20.0
5/22,"11,165","10,194",11165,23.0
5/23,"11,190","10,213",11190,25.0
5/24,"11,206","10,226",11206,16.0
5/25,"11,225","10,275",11225,19.0
5/26,"11,265","10,295",11265,40.0
5/27,"11,344","10,340",11344,79.0
5/28,"11,402","10,363",11402,58.0
5/29,"11,441","10,398",11441,39.0
5/30,"11,468","10,405",11468,27.0
5/31,"11,503","10,422",11503,35.0
6/1,"11,541","10,446",11541,38.0
6/2,"11,590","10,467",11590,49.0
6/3,"11,629","10,499",11629,39.0
6/4,"11,668","10,506",11668,39.0
6/5,"11,719","10,531",11719,51.0
6/6,"11,776","10,552",11776,57.0
6/7,"11,814","10,563",11814,38.0
6/8,"11,852","10,589",11852,38.0
6/9,"11,902","10,611",11902,50.0
6/10,"11,947","10,654",11947,45.0
6/11,"12,002","10,669",12002,55.0
6/12,"12,051","10,691",12051,49.0
6/13,"12,084","10,718",12084,33.0
6/14,"12,121","10,730",12121,37.0
6/15,"12,155","10,760",12155,34.0
6/16,"12,198","10,774",12198,43.0
6/17,"12,257","10,800",12257,59.0
6/18,"12,306","10,835",12306,49.0
6/19,"12,373","10,856",12373,67.0
6/20,"12,421","10,868",12421,48.0
6/21,"12,438","10,881",12438,17.0
6/22,"12,484","10,908",12484,46.0
6/23,"12,535","10,930",12535,51.0
6/24,"12,563","10,974",12563,28.0
6/25,"12,602","11,172",12602,39.0
6/26,"12,653","11,317",12653,51.0
6/27,"12,715","11,364",12715,62.0
6/28,"12,757","11,429",12757,42.0
6/29,"12,799","11,537",12799,42.0
6/30,"12,850","11,613",12850,51.0
7/1,"12,904","11,684",12904,54.0
7/2,"12,967","11,759",12967,63.0
7/3,"13,030","11,811",13030,63.0
7/4,"13,089","11,832",13089,59.0
7/5,"13,137","11,848",13137,48.0
7/6,"13,181","11,914",13181,44.0
7/7,"13,243","11,970",13243,62.0
7/8,"13,293","12,019",13293,50.0
7/9,"13,338","12,065",13338,45.0
7/10,"13,373","12,144",13373,35.0
7/11,"13,417","12,178",13417,44.0
7/12,"13,479","12,204",13479,62.0
7/13,"13,512","12,282",13512,33.0
7/14,"13,551","12,348",13551,39.0
7/15,"13,612","12,396",13612,61.0
7/16,"13,672","12,460",13672,60.0
7/17,"13,711","12,519",13711,39.0
7/18,"13,745","12,556",13745,34.0
7/19,"13,771","12,572",13771,26.0
7/20,"13,816","12,643",13816,45.0
7/21,"13,879","12,698",13879,63.0
7/22,"13,938","12,758",13938,59.0
7/23,"13,979","12,817",13979,41.0
7/24,"14,092","12,866",14092,113.0
7/25,"14,150","12,890",14150,58.0
7/26,"14,175","12,905",14175,25.0
7/27,"14,203","13,007",14203,28.0
7/28,"14,251","13,069",14251,48.0
7/29,"14,269","13,132",14269,18.0
7/30,"14,305","13,183",14305,36.0
7/31,"14,336","13,233",14336,31.0
8/1,"14,366","13,259",14366,30.0
8/2,"14,389","13,280",14389,23.0
8/3,"14,423","13,352",14423,34.0
8/4,"14,456","13,406",14456,33.0
8/5,"14,499","13,501",14499,43.0
8/6,"14,519","13,543",14519,20.0
8/7,"14,562","13,629",14562,43.0
8/8,"14,598","13,642",14598,36.0
8/9,"14,626","13,658",14626,28.0
8/10,"14,660","13,729",14660,34.0
8/11,"14,714","13,786",14714,54.0
8/12,"14,770","13,817",14770,56.0
8/13,"14,873","13,863",14873,103.0
8/14,"15,039","13,901",15039,166.0
8/15,"15,318","13,910",15318,279.0
8/16,"15,515","13,917",15515,197.0
8/17,"15,761","13,934",15761,246.0
8/18,"16,058","14,006",16058,297.0
8/19,"16,346","14,063",16346,288.0
8/20,"16,670","14,120",16670,324.0
8/21,"17,002","14,169",17002,332.0
8/22,"17,399","14,200",17399,397.0
8/23,"17,665","14,219",17665,266.0
8/24,"17,945","14,286",17945,280.0
8/25,"18,265","14,368",18265,320.0
8/26,"18,706","14,461",18706,441.0
8/27,"19,077","14,551",19077,371.0
8/28,"19,400","14,765",19400,323.0
8/29,"19,699","14,903",19699,299.0
8/30,"19,947","14,973",19947,248.0
8/31,"20,182","15,198",20182,235.0
9/1,"20,449","15,356",20449,267.0
9/2,"20,644","15,529",20644,195.0
9/3,"20,842","15,783",20842,198.0
9/4,"21,010","16,009",21010,168.0
9/5,"21,177","16,146",21177,167.0
9/6,"21,296","16,297",21296,119.0
9/7,"21,432","16,636",21432,136.0
9/8,"21,588","17,023",21588,156.0
9/9,"21,743","17,360",21743,155.0
9/10,"21,919","17,616",21919,176.0
9/11,"22,055","18,029",22055,136.0
9/12,"22,176","18,226",22176,121.0
9/13,"22,285","18,489",22285,109.0
9/14,"22,391","18,878",22391,106.0
9/15,"22,504","19,310",22504,113.0
9/16,"22,657","19,543",22657,153.0
9/17,"22,783","19,771",22783,126.0
9/18,"22,893","19,970",22893,110.0
9/19,"22,975","20,158",22975,82.0
9/20,"23,045","20,248",23045,70.0
9/21,"23,106","20,441",23106,61.0
9/22,"23,216","20,650",23216,110.0
9/23,"23,341","20,832",23341,125.0
9/24,"23,455","20,977",23455,114.0
9/25,"23,516","21,166",23516,61.0
9/26,"23,611","21,248",23611,95.0
9/27,"23,661","21,292",23661,50.0
9/28,"23,699","21,470",23699,38.0
9/29,"23,812","21,591",23812,113.0
9/30,"23,889","21,666",23889,77.0
10/1,"23,952","21,733",23952,63.0
10/2,"24,027","21,787",24027,75.0
10/3,"24,091","21,845",24091,64.0
10/4,"24,164","21,886",24164,73.0
10/5,"24,239","22,083",24239,75.0
10/6,"24,353","22,334",24353,114.0
10/7,"24,422","22,463",24422,69.0
10/8,"24,476","22,569",24476,54.0
10/9,"24,548","22,624",24548,72.0
10/10,"24,605","22,692",24605,57.0
10/11,"24,703","22,728",24703,98.0
10/12,"24,805","22,863",24805,102.0
10/13,"24,878","23,030",24878,73.0
10/14,"24,988","23,082",24988,110.0
10/15,"25,035","23,180",25035,47.0
10/16,"25,108","23,258",25108,73.0
10/17,"25,199","23,312",25199,91.0
10/18,"25,275","23,368",25275,76.0
10/19,"25,333","23,466",25333,58.0
10/20,"25,422","23,584",25422,89.0
10/21,"25,543","23,647",25543,121.0
10/22,"25,698","23,717",25698,155.0
10/23,"25,775","23,834",25775,77.0
10/24,"25,836","23,869",25836,61.0
10/25,"25,955","23,905",25955,119.0
10/26,"26,043","23,981",26043,88.0
10/27,"26,146","24,073",26146,103.0
10/28,"26,271","24,168",26271,125.0
10/29,"26,384","24,227",26384,113.0
10/30,"26,511","24,311",26511,127.0
10/31,"26,635","24,357",26635,124.0
11/1,"26,732","24,395",26732,97.0
11/2,"26,807","24,510",26807,75.0
11/3,"26,925","24,616",26925,118.0
11/4,"27,050","24,735",27050,125.0
11/5,"27,195","24,821",27195,145.0
11/6,"27,284","24,910",27284,89.0
11/7,"27,427","24,968",27427,143.0
11/8,"27,553","25,029",27553,126.0
11/9,"27,653","25,160",27653,100.0
11/10,"27,799","25,266",27799,146.0
11/11,"27,942","25,404",27942,143.0
11/12,"28,133","25,537",28133,191.0
11/13,"28,338","25,636",28338,205.0
11/14,"28,546","25,691",28546,208.0
11/15,"28,768","25,759",28768,222.0
11/16,"28,998","25,860",28998,230.0
11/17,"29,283","25,973",29283,285.0
11/18,"29,608","26,098",29608,325.0
11/19,"29,956","26,263",29956,348.0
11/20,"30,342","26,365",30342,386.0
11/21,"30,672","26,466",30672,330.0
11/22,"30,943","26,539",30943,271.0
11/23,"31,292","26,722",31292,349.0
11/24,"31,674","26,825",31674,382.0
11/25,"32,255","26,950",32255,581.0
11/26,"32,810","27,103",32810,555.0
11/27,"33,313","27,349",33313,503.0
11/28,"33,763","27,542",33763,450.0
11/29,"34,201","27,625",34201,438.0
11/30,"34,652","27,885",34652,451.0
12/1,"35,163","28,065",35163,511.0
12/2,"35,702","28,352",35702,539.0
12/3,"36,325","28,611",36325,623.0
12/4,"36,908","28,917",36908,583.0
12/5,"37,539","29,128",37539,631.0
12/6,"38,154","29,301",38154,615.0
12/7,"38,744","29,650",38744,590.0
12/8,"39,414","30,177",39414,670.0
12/9,"40,094","30,637",40094,680.0
12/10,"40,783","31,157",40783,689.0
12/11,"41,733","31,493",41733,950.0
12/12,"42,763","31,814",42763,1030.0
12/13,"43,481","32,102",43481,718.0
12/14,"44,361","32,559",44361,880.0
12/15,"45,439","32,947",45439,1078.0
12/16,"46,453","33,610",46453,1014.0
12/17,"47,517","33,982",47517,1064.0
12/18,"48,564","34,334",48564,1047.0
12/19,"49,661","34,722",49661,1097.0
12/20,"50,587","35,155",50587,926.0
12/21,"51,454","35,928",51454,867.0
12/22,"52,544","36,726",52544,1090.0
12/23,"53,529","37,425",53529,985.0
12/24,"54,770","38,048",54770,1241.0
